Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,publications
14,Georgia Institute of Technology,Craig R. Forest,Professor,,,,,,,,
14,Georgia Institute of Technology,Katherine Fu,Adjunct Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Andrés J. García,Parker H. Petit Director's Chair in Bioengineering and Bioscience,,,,,,,,
14,Georgia Institute of Technology,Srinivas Garimella,Hightower Chair in Engineering,,,,,,,,
14,Georgia Institute of Technology,Caroline L. Genzale,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,S. Mostafa Ghiaasiaan,Professor,,,,,,,,
14,Georgia Institute of Technology,Rudolph L. Gleason,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Ari Glezer,Chair in Thermal Systems,,,,,,,,
14,Georgia Institute of Technology,James L. Gole,Professor Emeritus,,,,,,,,
14,Georgia Institute of Technology,Samuel Graham,Professor,,,,,,,,
14,Georgia Institute of Technology,Itzhak Green,Professor,,,,,,,,
14,Georgia Institute of Technology,Peter Griffiths,"Director of Student Engagement and Success, Academic Professional",,,,,,,,
14,Georgia Institute of Technology,Frank L. Hammond III,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Tequila A. L. Harris,Professor,,,,,,,,
14,Georgia Institute of Technology,Marta Hatzell,"Woodruff Professor, Associate Professor",,,,,,,,
14,Georgia Institute of Technology,Peter J. Hesketh,Professor,,,,,,,,
14,Georgia Institute of Technology,David Hu,Professor,,,,,,,,
14,Georgia Institute of Technology,Yuhang Hu,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Andrew Hummel,Lecturer,,,,,,,,
14,Georgia Institute of Technology,Karl I. Jacob,Professor,,,,,,,,
14,Georgia Institute of Technology,Laurence J. Jacobs,Professor,,,,,,,,
14,Georgia Institute of Technology,Suhas Jain,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,Sheldon M. Jeter,Retired Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Roger Jiao,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,W. Steven Johnson,Professor Emeritus,,,,,,,,
14,Georgia Institute of Technology,Yogendra Joshi,Distinguished Chair,,,,,,,,
14,Georgia Institute of Technology,Kyriaki Kalaitzidou,Associate Chair for Faculty Development,,,,,,,,
14,Georgia Institute of Technology,Surya Kalidindi,"Regents' Professor, Rae S. and Frank H. Neely Chair",,,,,,,,
14,Georgia Institute of Technology,Sedighe Keynia,Lecturer,,,,,,,,
14,Georgia Institute of Technology,YongTae (Tony) Kim,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Dan Kotlyar,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Shreyas Kousik,Assistant Professor,,,,,,,,
14,Georgia Institute of Technology,David N. Ku,Lawrence P. Huang Endowed Chair for Engineering Entrepreneurship and Regents' Professor,,,,,,,,
14,Georgia Institute of Technology,Satish Kumar,"Frank H. Neely Professor, Professor",,,,,,,,
14,Georgia Institute of Technology,Thomas Kurfess,"Regents' Professor, HUSCO/Ramirez Distinguished Chair",,,,,,,,
14,Georgia Institute of Technology,Michael J. Leamy,"Woodruff Professor, Director of Graduate Studies, and Professor",,,,,,,,
14,Georgia Institute of Technology,Kok-Meng Lee,Professor,,,,,,,,
14,Georgia Institute of Technology,Seung Woo Lee,Associate Professor,,,,,,,,
14,Georgia Institute of Technology,Steven Y. Liang,"Morris M. Bryan, Jr. Professor",,,,,,,,
14,Georgia Institute of Technology,Timothy C. Lieuwen,Professor,,,,,,,,
14,Georgia Institute of Technology,Julie Linsey,Professor,,,,,,,,
14,Georgia Institute of Technology,Peter Loutzenhiser,Associate Professor,,,,,,,,
