Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,scholarid
23,University of Toronto,David Lie,,"AI,System",http://www.eecg.toronto.edu/~lie,,,,,"Machine learning,Computer architecture,Computer security,Operating systems,Software engineering",Qm_3B70AAAAJ
23,University of Toronto,Michael GrÃ¼ninger,,AI,http://stl.mie.utoronto.ca/gruninger.html,,,,,"Artificial intelligence,Computer vision",FgiDz7oAAAAJ
23,University of Toronto,Cosmin Munteanu,,"AI,Interdisciplinary Areas ",http://www.cs.utoronto.ca/~mcosmin,,,,," Natural language processing,Human-computer interaction",sblCo1IAAAAJ
23,University of Toronto,Anna Goldenberg,,AI,http://goldenberglab.ca,,,,,"Computer vision,Machine learning",cEepZOEAAAAJ
23,University of Toronto,Michael Brudno,,"AI,Interdisciplinary Areas ,System",http://www.cs.toronto.edu/~brudno,,,,,"Artificial intelligence,Machine learning,Comp. bio & bioinformatics,Human-computer interaction,Visualization,Operating systems",xoNrEqUAAAAJ
23,University of Toronto,Eitan Grinspun,,"AI,Interdisciplinary Areas ,System",http://www.cs.columbia.edu/~eitan,,,,,"Computer vision,Machine learning, Computer graphics,Robotics,Visualization,Computer security",0_vvBZkAAAAJ
23,University of Toronto,Roger B. Grosse,,AI,https://www.cs.toronto.edu/~rgrosse,,,,,"Artificial intelligence,Computer vision,Machine learning",xgQd1qgAAAAJ
23,University of Toronto,Maryam Mehri Dehnavi,,"AI,Interdisciplinary Areas ,System",https://www.cs.toronto.edu/~mmehride,,,,,"Machine learning, Computer graphics,High-performance computing,Programming languages",f3V6gZMAAAAJ
23,University of Toronto,Alan M. Moses,,"AI,Interdisciplinary Areas ",http://www.moseslab.csb.utoronto.ca,,,,,"Machine learning,Comp. bio & bioinformatics",o5gmOHMAAAAJ
23,University of Toronto,Kiriakos N. Kutulakos,,"AI,Interdisciplinary Areas ",http://www.cs.toronto.edu/~kyros,,,,,"Computer vision,Machine learning, Computer graphics,Robotics",NOSCHOLARPAGE
23,University of Toronto,Anthony J. Bonner,,"AI,Interdisciplinary Areas ,System",http://www.cs.toronto.edu/~bonner,,,,,"Artificial intelligence,Machine learning,Comp. bio & bioinformatics,Databases",NOSCHOLARPAGE
23,University of Toronto,Nick Koudas,,"AI,System",http://koudas01.utsc.utoronto.ca/~koudas,,,,,"Machine learning,The Web & information retrieval   ,Databases",f0Wc8tkAAAAJ
23,University of Toronto,Daniel J. Wigdor,,"AI,Interdisciplinary Areas ",http://www.dgp.toronto.edu/~dwigdor,,,,,"The Web & information retrieval   ,Human-computer interaction,Visualization",x3hvdTsAAAAJ
23,University of Toronto,Aleksandar Nikolov,,"AI,System,Theory",http://www.cs.toronto.edu/~anikolov,,,,,"Artificial intelligence,Machine learning,Databases,Algorithms & complexity",glV_LWsAAAAJ
23,University of Toronto,Alex Mihailidis,,"AI,Interdisciplinary Areas ",http://www.iatsl.org/people/amihailidis.htm,,,,,"Artificial intelligence,Robotics",FgKrtn0AAAAJ
23,University of Toronto,Peter Marbach,,"AI,System",http://www.cs.toronto.edu/~marbach,,,,,"Machine learning,Measurement & perf. analysis ",NOSCHOLARPAGE
23,University of Toronto,Steve M. Easterbrook,,"AI,System",http://www.cs.toronto.edu/~sme,,,,,"Computer vision,Machine learning,Software engineering",bD8DWiEAAAAJ
